"filename", "language", "JavaScript", "PHP", "XML", "JavaScript JSX", "JSON", "PostCSS", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\app\Policies\ReportPolicy.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 21, 10, 67
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\app\Providers\AppServiceProvider.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 7, 5, 26
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\bootstrap\app.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 2, 4, 24
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\bootstrap\providers.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\components.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 21
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\composer.json", "JSON", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 76
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\composer.lock", "JSON", 0, 0, 0, 0, 9282, 0, 0, 0, 0, 1, 9283
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\config\app.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 82, 23, 127
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\config\auth.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 74, 14, 116
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\config\cache.php", "PHP", 0, 57, 0, 0, 0, 0, 0, 0, 34, 18, 109
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\config\database.php", "PHP", 0, 109, 0, 0, 0, 0, 0, 0, 43, 23, 175
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\config\filesystems.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 32, 13, 81
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\config\logging.php", "PHP", 0, 79, 0, 0, 0, 0, 0, 0, 33, 21, 133
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\config\mail.php", "PHP", 0, 55, 0, 0, 0, 0, 0, 0, 43, 19, 117
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\config\queue.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 0, 44, 17, 113
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\config\services.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 11, 8, 39
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\config\session.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 160, 35, 218
"c:\Computer Science Stuff\Web Dev Shit\laravel projects\hackattack2\database\factories\ReportContainerFactory.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 9, 4, 24
